0	631	245	
1	631	245	
2	631	245	0	
3	631	245	0	
4	631	245	0	
5	631	245	0	
6	631	245	0	
7	631	245	0	
8	631	245	0	
9	631	245	0	
10	631	245	0	
11	631	245	0	
12	631	245	0	
13	645	254	16.6433169770932	
14	667	270	27.2029410174709	
15	697	289	35.5105618091294	
16	737	317	48.8262224629348	
17	781	350	55	
18	837	388	67.6756972627545	
19	910	429	83.7257427557379	
20	975	466	74.7930478052606	
21	1032	497	64.8845127900333	
22	1085	530	62.4339651151519	
23	1131	559	54.3783044972901	
24	1164	582	40.2243707222375	
25	1194	611	41.7252920900501	
26	1209	636	29.1547594742265	
27	1227	674	42.0475920832573	
28	1243	714	43.081318457076	
29	1250	731	18.3847763108502	
30	1250	731	0	
31	1250	731	0	
32	1250	731	0	
33	1250	731	0	
34	1250	731	0	
35	1250	731	0	
36	1250	731	0	
37	1250	731	0	
38	1250	731	0	
39	1250	731	0	
40	1250	731	0	
41	1250	731	0	
42	1250	731	0	
43	1250	731	0	
44	1250	731	0	
45	1250	731	0	
46	1250	731	0	
47	1250	731	0	
48	1250	731	0	
49	1250	731	0	
50	1212	777	59.6657355607052	
51	1166	829	69.4262198308391	
52	1123	880	66.7083203206317	
53	1065	955	94.8103369891701	
54	990	1064	132.310241478126	
55	937	1152	102.727795654341	
56	908	1219	73.0068489937759	
57	900	1255	36.8781778291715	
58	898	1279	24.0831891575846	
59	898	1297	18	
60	897	1306	9.05538513813742	
61	893	1316	10.770329614269	
62	886	1321	8.60232526704263	
63	873	1328	14.7648230602334	
64	860	1335	14.7648230602334	
65	842	1343	19.6977156035922	
66	826	1349	17.0880074906351	
67	810	1358	18.3575597506858	
68	804	1368	11.6619037896906	
69	804	1377	9	
70	810	1385	10	
71	820	1394	13.4536240470737	
72	833	1402	15.2643375224737	
73	854	1413	23.7065391822594	
74	872	1421	19.6977156035922	
75	888	1427	17.0880074906351	
76	904	1433	17.0880074906351	
77	920	1438	16.7630546142402	
78	936	1439	16.0312195418814	
79	947	1439	11	
80	948	1439	1	
81	948	1439	0	
82	948	1439	0	
83	949	1438	1.4142135623731	
84	952	1436	3.60555127546399	
85	953	1436	1	
86	954	1435	1.4142135623731	
87	954	1435	0	
88	954	1435	0	
89	954	1435	0	
90	955	1435	1	
91	956	1436	1.4142135623731	
92	956	1436	0	
93	956	1436	0	
94	956	1436	0	
95	956	1436	0	
96	957	1436	1	
97	959	1432	4.47213595499958	
98	959	1429	3	
99	960	1426	3.16227766016838	
100	960	1424	2	
101	960	1423	1	
102	960	1423	0	
103	960	1422	1	
104	960	1422	0	
105	960	1422	0	
106	960	1422	0	
107	960	1422	0	
108	960	1422	0	
109	960	1422	0	
110	960	1422	0	
111	960	1422	0	
112	960	1422	0	
113	962	1423	2.23606797749979	
114	963	1424	1.4142135623731	
115	964	1424	1	
116	965	1424	1	
117	967	1424	2	
118	968	1424	1	
119	969	1424	1	
120	970	1424	1	
121	970	1424	0	
122	970	1424	0	
123	970	1424	0	
124	970	1424	0	
125	970	1424	0	
126	970	1424	0	
127	970	1424	0	
128	970	1424	0	
129	970	1424	0	
130	970	1424	0	
131	970	1424	0	
132	970	1424	0	
133	970	1424	0	
134	970	1424	0	
135	970	1424	0	
136	970	1424	0	
137	970	1424	0	
138	970	1424	0	
139	970	1424	0	
140	970	1424	0	
141	970	1424	0	
142	970	1424	0	
143	970	1424	0	
144	970	1424	0	
145	970	1424	0	
146	970	1424	0	
147	970	1424	0	
148	970	1424	0	
149	970	1424	0	
150	970	1424	0	
151	970	1424	0	
152	970	1424	0	
153	970	1424	0	
154	970	1424	0	
155	976	1401	23.7697286480094	
156	980	1389	12.6491106406735	
157	987	1373	17.464249196573	
158	996	1350	24.6981780704569	
159	1006	1323	28.7923600977759	
160	1015	1298	26.5706605111728	
161	1026	1267	32.8937684067971	
162	1044	1224	46.6154480832267	
163	1059	1187	39.9249295553543	
164	1077	1143	47.5394572960189	
165	1092	1111	35.3411940941446	
166	1108	1077	37.5765884561119	
167	1121	1049	30.8706980808663	
168	1134	1022	29.9666481275434	
169	1148	1002	24.4131112314674	
170	1158	1009	12.2065556157337	
171	1162	1013	5.65685424949238	
172	1162	1013	0	
173	1162	1013	0	
174	1162	1013	0	
175	1162	1013	0	
176	1162	1013	0	
177	1162	1013	0	
178	1162	1013	0	
179	1162	1013	0	
180	1162	1013	0	
181	1162	1013	0	
182	1162	1013	0	
183	1162	1013	0	
184	1162	1013	0	
185	1162	1013	0	
186	1162	1013	0	
187	1162	1013	0	
188	1162	1013	0	
189	1160	1008	5.3851648071345	
190	1160	1008	0	
191	1159	1007	1.4142135623731	
192	1158	1006	1.4142135623731	
193	1157	1001	5.09901951359278	
194	1156	993	8.06225774829855	
195	1155	984	9.05538513813742	
196	1155	977	7	
197	1156	969	8.06225774829855	
198	1157	962	7.07106781186548	
199	1157	957	5	
200	1157	952	5	
201	1156	944	8.06225774829855	
202	1156	937	7	
203	1155	933	4.12310562561766	
204	1154	926	7.07106781186548	
205	1153	921	5.09901951359278	
206	1153	917	4	
207	1152	912	5.09901951359278	
208	1151	906	6.08276253029822	
209	1150	902	4.12310562561766	
210	1150	899	3	
211	1149	898	1.4142135623731	
212	1149	897	1	
213	1149	897	0	
214	1149	897	0	
215	1152	896	3.16227766016838	
216	1157	893	5.8309518948453	
217	1161	891	4.47213595499958	
218	1163	891	2	
219	1163	890	1	
220	1163	890	0	
221	1163	890	0	
222	1163	890	0	
223	1163	890	0	
224	1164	888	2.23606797749979	
225	1165	881	7.07106781186548	
226	1166	874	7.07106781186548	
227	1167	869	5.09901951359278	
228	1167	865	4	
229	1167	862	3	
230	1167	859	3	
231	1167	858	1	
232	1167	858	0	
233	1167	857	1	
234	1167	856	1	
235	1167	853	3	
236	1168	848	5.09901951359278	
237	1168	844	4	
238	1169	841	3.16227766016838	
239	1170	838	3.16227766016838	
240	1170	837	1	
241	1170	837	0	
242	1170	837	0	
243	1170	837	0	
244	1171	837	1	
